SELECT   <KW,1>
name   <IDN,name>
,   <SE,3>
SUM   <KW,21>
(   <SE,1>
length   <IDN,length>
)   <SE,2>
FROM   <KW,2>
movie_1   <IDN,movie_1>
GROUP BY   <KW,24>
name   <IDN,name>
