1	/	##INSERT	move
2	/	INSERT#INTO	move
3	116	INTO#IDN	reduction
4	115	into#IDN	reduction
5	/	insertKeyword#IDN	move
6	48	IDN#(	reduction
7	44	uid#(	reduction
8	/	tableName#(	move
9	/	(#IDN	move
10	48	IDN#,	reduction
11	/	uid#,	move
12	/	,#IDN	move
13	48	IDN#)	reduction
14	47	uid#)	reduction
15	46	uidListRec#)	reduction
16	45	uidListRec#)	reduction
17	/	uidList#)	move
18	/	)#VALUES	move
19	119	VALUES#(	reduction
20	/	insertFormat#(	move
21	/	(#STRING	move
22	97	STRING#,	reduction
23	79	stringLiteral#,	reduction
24	75	constant#,	reduction
25	74	expressionAtom#,	reduction
26	72	predicateRight#,	reduction
27	61	predicate#,	reduction
28	58	expressionRight#,	reduction
29	127	expression#,	reduction
30	/	expressionOrDefault#,	move
31	/	,#INT	move
32	84	INT#)	reduction
33	80	decimalLiteral#)	reduction
34	75	constant#)	reduction
35	74	expressionAtom#)	reduction
36	72	predicateRight#)	reduction
37	61	predicate#)	reduction
38	58	expressionRight#)	reduction
39	127	expression#)	reduction
40	126	expressionOrDefault#)	reduction
41	125	expressionOrDefaultListRec#)	reduction
42	123	expressionOrDefaultListRec#)	reduction
43	/	expressionsWithDefaults#)	move
44	122	)##	reduction
45	118	expressionsWithDefaultsListRec##	reduction
46	114	insertStatementValue##	reduction
47	112	insertStatementRight##	reduction
48	3	insertStatement##	reduction
49	1	dmlStatement##	reduction
50	/	root##	accept
