1	/	##SELECT	move
2	14	SELECT#*	reduction
3	/	unionType#*	move
4	27	*#FROM	reduction
5	30	selectElementHead#FROM	reduction
6	26	selectElementListRec#FROM	reduction
7	/	selectElements#FROM	move
8	/	FROM#IDN	move
9	48	IDN#WHERE	reduction
10	44	uid#WHERE	reduction
11	35	tableName#WHERE	reduction
12	42	elementNameAlias#WHERE	reduction
13	41	tableSourceItem#WHERE	reduction
14	39	joinParts#WHERE	reduction
15	38	tableSource#WHERE	reduction
16	36	tableSourceListRec#WHERE	reduction
17	/	tableSources#WHERE	move
18	/	WHERE#IDN	move
19	48	IDN#=	reduction
20	51	uid#=	reduction
21	49	dottedId#=	reduction
22	76	fullColumnName#=	reduction
23	/	expressionAtom#=	move
24	85	=#INT	reduction
25	/	comparisonOperator#INT	move
26	84	INT#OR	reduction
27	80	decimalLiteral#OR	reduction
28	75	constant#OR	reduction
29	74	expressionAtom#OR	reduction
30	72	predicateRight#OR	reduction
31	73	predicate#OR	reduction
32	72	predicateRight#OR	reduction
33	/	predicate#OR	move
34	95	OR#IDN	reduction
35	/	logicalOperator#IDN	move
36	48	IDN#=	reduction
37	51	uid#=	reduction
38	49	dottedId#=	reduction
39	76	fullColumnName#=	reduction
40	/	expressionAtom#=	move
41	85	=#INT	reduction
42	/	comparisonOperator#INT	move
43	84	INT#AND	reduction
44	80	decimalLiteral#AND	reduction
45	75	constant#AND	reduction
46	74	expressionAtom#AND	reduction
47	72	predicateRight#AND	reduction
48	73	predicate#AND	reduction
49	72	predicateRight#AND	reduction
50	/	predicate#AND	move
51	92	AND#IDN	reduction
52	/	logicalOperator#IDN	move
53	48	IDN#=	reduction
54	51	uid#=	reduction
55	49	dottedId#=	reduction
56	76	fullColumnName#=	reduction
57	/	expressionAtom#=	move
58	85	=#INT	reduction
59	/	comparisonOperator#INT	move
60	84	INT##	reduction
61	80	decimalLiteral##	reduction
62	75	constant##	reduction
63	74	expressionAtom##	reduction
64	72	predicateRight##	reduction
65	73	predicate##	reduction
66	72	predicateRight##	reduction
67	61	predicate##	reduction
68	58	expressionRight##	reduction
69	59	expression##	reduction
70	58	expressionRight##	reduction
71	59	expression##	reduction
72	58	expressionRight##	reduction
73	132	expression##	reduction
74	18	whereExpression##	reduction
75	21	fromClause##	reduction
76	23	groupByClause##	reduction
77	25	havingClause##	reduction
78	17	orderByClause##	reduction
79	15	selectClause##	reduction
80	8	querySpecification##	reduction
81	6	unionStatements##	reduction
82	2	selectStatement##	reduction
83	1	dmlStatement##	reduction
84	/	root##	accept
